ens_gene,target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00018194,F39E9.1,2.4433763957412405e-7,4.3040539143208994e-5,33.56855683180908,9.775530824827182,3,3.724721936678623,0.8886846204388353,0.046506041703243406,0.8421785787355913,0.06455916148185784,0.8421785787355913
WBGene00015933,C17H12.8,2.5294788438633707e-7,4.400028448900333e-5,33.49728314661541,16.683054409892048,3,6.996560166999598,1.516641309990187,0.0017012869921193916,1.5149400229980667,0.028851080038232252,1.5149400229980667
WBGene00044457,C18H7.11,2.588385896179323e-7,4.446910880398946e-5,33.44990316177734,7.316603094943973,3,3.8048912056095214,0.6651457359039977,0.035738373530187224,0.6294073623738103,0.06322889558529891,0.6294073623738103
WBGene00007873,dod-21,3.119189381048232e-7,5.293492613008195e-5,33.06591866756854,72.5022209879407,3,3.8177875892230912,6.5911109989037024,0.1210820737711644,6.470028925132536,0.063012414050684,6.470028925132536
WBGene00000784,cpr-4,3.66925107031731e-7,6.151963601751287e-5,32.73149235955766,3.2465621090595786,3,7.4913679732023875,0.29514200991450673,7.470057307908232e-4,0.29439500418371634,0.02935954398441301,0.29439500418371634
WBGene00001786,gst-38,3.8918042142374876e-7,6.382768678276069e-5,32.61021851778219,8.13570871700691,3,3.4578007939496382,0.7396098833642653,0.03982267849831226,0.6997872048659524,0.0698750459394997,0.6997872048659524
WBGene00022142,Y71G12B.2,3.8986442774753224e-7,6.382768678276069e-5,32.60660182613111,9.259892716514246,3,3.1431644910007757,0.8418084287740225,0.05543782546082868,0.78637060331319375,0.08232676838518949,0.78637060331319375
WBGene00007153,clec-41,4.0413738363202846e-7,6.53036341318554e-5,32.53254458646424,2.5405885804580643,3,7.544700771287996,0.23096259822346088,6.265823831963089e-4,0.23033601584026409,0.029486677554868817,0.23033601584026409
WBGene00021805,Y53G8AM.5,4.082650308617002e-7,6.53036341318554e-5,32.51161400535463,33.62651769838117,3,1.9484333533224933,3.0569561543982884,0.1675439309657802,2.889412223432508,0.22632781443607156,2.889412223432508
WBGene00010769,asah-1,4.308538898323259e-7,6.813366739666645e-5,32.40068456609403,10.47825467951228,3,5.8928473567049124,0.9525686072283904,0.004585385104913093,0.9479832221234761,0.03342153505914753,0.9479832221234761
